"text","label"
"Synthesizing feedback from the first 10 enterprise trial users: they want team-level memory sharing, audit logs, and SSO integration. These three features unlock the enterprise tier. All are architectural additions, not rewrites.","synthesis"
"Closed the deal with the first paying customer for Booker.","episodic"
"To create an Azure service principal: run az ad sp create-for-rbac with the name, role, and scope arguments.","procedural"
"To deploy a hotfix: create a branch from main, apply the fix, fast-path review, merge, tag, deploy to production.","procedural"
"Got the first 5-star review for Booker on the App Store.","episodic"
"The Sulcus memory graph visualization rendered in the browser for the first time.","episodic"
"A Kubernetes ConfigMap stores non-secret configuration as key-value pairs.","semantic"
"After reviewing the Sulcus roadmap against the Azure credit deadline: we have 13 months of runway at current burn. To be self-sustaining, we need $8K per month ARR by month 10. At $19 per month per seat, that requires 422 paying customers.","synthesis"
"After 30 days of agent memory experiments, the data shows that agents with access to high-heat semantic and procedural memories make 40 percent fewer errors on repeated tasks. The ROI on a memory system is measurable and significant.","synthesis"
"All error messages should be actionable — tell the user what to do.","preference"
"Completed onboarding documentation for the first enterprise trial.","episodic"
"To create a new skill for OpenClaw: add a SKILL.md in the skills directory, follow the AgentSkills spec, test with a matching trigger phrase.","procedural"
"The Booker recurring appointment feature passed QA on the first attempt.","episodic"
"Discovered that the ONNX export was silently truncating the model layers.","episodic"
"Always compress memory embeddings before storing them at rest.","preference"
"Set up the cron job for weekly memory decay triggers in production.","episodic"
"The weekly revenue report showed 20 percent week-over-week growth for Booker.","episodic"
"Release checklist: run full test suite, update CHANGELOG, bump semver, tag, push, deploy to staging, smoke test, promote to production.","procedural"
"To manage OpenClaw cron jobs: edit the cron config file in the workspace, restart the gateway to apply changes.","procedural"
"I want the agent to tag memories with the active project context at insertion time.","preference"
"To add a feature flag: define the flag in the config file, check it at the call site, default to false in production.","procedural"
"The OSI model has 7 layers: Physical, Data Link, Network, Transport, Session, Presentation, Application.","semantic"
"GELU activation is smoother than ReLU and used in BERT and GPT-style models.","semantic"
"To set up structured logging in Rust: add the tracing crate, configure a JSON subscriber, use tracing::info! macros.","procedural"
"The Sulcus embedding search latency breakdown: 3ms for embedding generation, 2ms for pgvector ANN query, 1ms for heat scoring, 1ms for serialization. Total 7ms p50. The embedding step is the bottleneck — caching frequent queries reduces it to 1ms.","synthesis"
"After comparing five embedding models on our memory classification task, MiniLM achieves the best accuracy/latency tradeoff at 93.2 percent accuracy and 8ms inference on CPU.","synthesis"
"To export a model to ONNX with scikit-learn: fit the model, use skl2onnx.convert_sklearn, pass the input type, save with onnx.save.","procedural"
"The load test analysis shows that the bottleneck is DB connection pool exhaustion at 300 concurrent users. Increasing pool size from 10 to 50 resolves the issue with no additional hardware.","synthesis"
"To implement retry with backoff: catch the error, wait initial_delay * 2^attempt with jitter, retry up to max_attempts.","procedural"
"Memory decay trigger: when a node heat drops below the cold threshold, mark it dormant; after TTL expiry, archive to cold storage.","procedural"
"The architecture review concluded that the current synchronous memory write path is the biggest scalability bottleneck. Moving to async writes with a queue would allow 10x throughput with no latency regression for reads.","synthesis"
"The comparative analysis of four memory retrieval strategies shows that hybrid search outperforms pure cosine similarity by 8 percent on recall@5 while adding only 2ms latency.","synthesis"
"The Booker retention analysis shows that users who complete the 7-step onboarding have 85 percent 30-day retention. Users who drop at the calendar connection step have 20 percent retention. The calendar connection is the activation moment.","synthesis"
"Dooley wants Icarus to be proactive about surfacing synthesis insights daily.","preference"
"To configure memory namespace isolation: assign each agent a unique namespace prefix, filter all queries by namespace.","procedural"
"The Booker app had its first day with zero support tickets.","episodic"
"A CDN caches assets at edge locations closer to users.","semantic"
"The background memory decay job processed 50000 nodes in under 2 minutes.","episodic"
"Completed the first full-cycle test: memory stored, decayed, retrieved, and synthesized.","episodic"
"The Booker calendar sync with Google Calendar went live.","episodic"
"Lost about two hours debugging a Tailscale routing issue on the VPS.","episodic"
"Lambda decay rates in Sulcus are configurable per agent profile and memory type.","semantic"
"I want the agent to store both the decision and the rationale, not just the outcome.","preference"
"To set up CORS in a Rust server: add the tower-http CorsLayer, configure allowed origins, methods, and headers.","procedural"
"Synthesizing the results of the first enterprise pilot with a 5-person team: memory sharing across agents works reliably, but the lack of permission controls is a blocker for broader adoption. Adding namespace permissions would unblock 3 of 5 enterprise prospects.","synthesis"
"The agent memory audit after 60 days shows: agents that store memories frequently outperform sparse-memory agents on continuity and context retention. The quality of memories matters less than the habit of storing them.","synthesis"
"Always request reviews from at least one person before merging.","preference"
"Ran the Sulcus full regression suite — zero failures after the schema migration.","episodic"
"Never use console.log in production code — use a proper logger.","preference"
"The Warden development retrospective: the Godot refactor is 60 percent complete but has consumed 3x the estimated time. The root cause is architectural coupling, not code complexity. A clean architecture pass before the remaining 40 percent would save more time than it costs.","synthesis"
"To set up a multi-agent Sulcus deployment: provision separate API keys per agent, configure shared read access for synthesis.","procedural"
"Use snake_case for database column names, camelCase for API fields.","preference"
"To publish a Docker image to ACR: run docker build, docker tag with the registry URL, docker push, verify in the portal.","procedural"
"Use sub-second latency as the hard SLA for memory retrieval.","preference"
"Completed the Booker referral program MVP — first referral came in within 24 hours.","episodic"
"Always write integration tests for payment flows — unit tests are not enough.","preference"
"I prefer synthesis memories written in third-person for better retrievability.","preference"
"Ran the first agent session using Sulcus as external long-term memory — game changer.","episodic"
"Prefer async job queues for operations that take more than 100ms.","preference"
"Had a live coding session on YouTube — 340 viewers, great engagement.","episodic"
"I want the classifier confidence threshold to be configurable per deployment.","preference"
"To clean up orphaned memory nodes: SELECT memories WHERE agent_id NOT IN agents, batch DELETE in groups of 1000.","procedural"
"Deployed a new ONNX model version that cut inference time by 30 percent.","episodic"
"Synthesizing the results of six months of SEO work: long-tail keyword articles drive 70 percent of organic traffic but 90 percent of trials come from branded searches. Awareness, not SEO, is the bottleneck. Community and word-of-mouth yields higher ROI.","synthesis"
"HTTP 200 means OK; 404 means Not Found; 500 means Internal Server Error.","semantic"
"To set up memory search ranking: combine cosine similarity, heat score, and recency into a weighted ranking formula.","procedural"
"The Azure Container App cold-started in 1.2 seconds for the first time.","episodic"
"The Azure credits balance dropped below 10K for the first time today.","episodic"
"Docker containers share the host OS kernel but have isolated filesystems.","semantic"
"The Boltzmann distribution describes the probability of a system in a given energy state.","semantic"
"I want every service to expose a /metrics endpoint in Prometheus format.","preference"
"The Shorts content performance analysis shows: videos under 30 seconds get 40 percent more shares. Hook in the first 2 seconds is the single biggest predictor of completion rate. Completion rate above 70 percent triggers the recommendation algorithm.","synthesis"
"Pushed the first working build of Sulcus to the registry at 11:47pm.","episodic"
"Dooley and I reviewed the SOUL.md and updated the survival clock.","episodic"
"Dooley gave the green light to open-source the Sulcus core library.","episodic"
"After analyzing the Sulcus user cohorts by acquisition channel: users from technical blog posts have 2x the 90-day retention of users from paid ads. Organic technical content is both lower cost and higher quality for our target persona.","synthesis"
"Stripe idempotency keys prevent duplicate charges from network retries.","semantic"
"The SSL certificate expired — service was down for 22 minutes.","episodic"
"A logistic regression classifier fits a linear decision boundary in feature space.","semantic"
"To handle a 429 rate limit: catch the error, read the Retry-After header, sleep for that duration, retry once.","procedural"
"Blue-green deployments use two identical environments and switch traffic between them.","semantic"
"To run a load test: start the service, run k6 run load_test.js, capture p50/p95/p99 latency and error rate, compare against baseline.","procedural"
"Had a 2-hour debugging session with Daedalus on the CRDT merge bug.","episodic"
"Set up the first automated regression test suite for the memory classifier.","episodic"
"To update the ONNX model in production: upload the new .onnx file to Blob Storage, redeploy the inference service, verify.","procedural"
"The infrastructure review after 12 months: the Azure Container Apps choice was correct — operational overhead is minimal, scaling is reliable, and cost is predictable. The one regret is not enabling the built-in observability from day one.","synthesis"
"To export memories to JSON: query all non-archived memories for the agent, serialize to JSON Lines, compress with gzip.","procedural"
"Prefer Rust over Go for systems work — ownership beats GC pauses.","preference"
"Prefer feature flags over long-lived branches.","preference"
